ADDRESS_X,LATITUDE_X,LONGITUDE_X,AGE,COMMUNITY_COUNCIL_NEIGHBORHOOD,CPD_NEIGHBORHOOD,CRASHDATE,CRASHLOCATION,CRASHSEVERITY,CRASHSEVERITYID,DATECRASHREPORTED,DAYOFWEEK,GENDER,INJURIES,INSTANCEID,LIGHTCONDITIONSPRIMARY,LOCALREPORTNO,MANNEROFCRASH,ROADCONDITIONSPRIMARY,ROADCONTOUR,ROADSURFACE,SNA_NEIGHBORHOOD,TYPEOFPERSON,WEATHER,ZIP
47XX READING RD,39.172111,84.467835,18-25,N/A,N/A,08/17/2018 04:30:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/17/2018 04:34:00 PM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,BEB6A6E7-AAA9-4017-B4A1-9B24E903B92A,1 - DAYLIGHT,185011500,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45237
29XX MONTANA AV,39.148911,84.596316,31-40,N/A,N/A,08/23/2018 01:50:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/23/2018 01:59:00 PM +0000,THU,M - MALE,1 - NO INJURY / NONE REPORTED,97ED05BD-41C8-48F9-B596-00616F1C906A,1 - DAYLIGHT,185011781,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45211
39XX W LIBERTY ST,39.117962,-84.577988,26-30,WEST PRICE HILL,WEST PRICE HILL,08/10/2018 10:38:00 PM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/10/2018 10:42:00 PM +0000,FRI,M - MALE,2 - POSSIBLE,52C0ECE6-D184-40F4-8168-2A96134C64C9,5 - DARK – ROADWAY NOT LIGHTED,185011134,6 - ANGLE,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",WEST PRICE HILL,D - DRIVER,1 - CLEAR,45205
29XX WASSON RD,39.143643,84.434733,41-50,N/A,N/A,08/27/2018 06:02:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/27/2018 06:03:00 PM +0000,MON,M - MALE,1 - NO INJURY / NONE REPORTED,936CCCE9-60E5-4E5F-8845-D842A20E2D5C,1 - DAYLIGHT,185011974,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45208
S I75 AT 1-8 MM,39.114772,-84.531895,26-30,WEST END,WEST  END,08/10/2018 12:15:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/10/2018 12:15:00 PM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,C6A453AD-C765-442E-BDB8-17668B1B9157,1 - DAYLIGHT,185011098,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",QUEENSGATE,D - DRIVER,2 - CLOUDY,45214
56XX RIDGE AV,39.175075,-84.426966,UNDER 18,PLEASANT RIDGE,PLEASANT RIDGE,08/15/2018 04:10:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/15/2018 04:12:00 PM +0000,WED,F - FEMALE,1 - NO INJURY / NONE REPORTED,73BC05E2-5812-4F62-9A8A-78629CA13D3F,1 - DAYLIGHT,185011359,2 - REAR-END,02 - WET,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",PLEASANT RIDGE,O - OCCUPANT,4 - RAIN,45213
26XX FIRTREE CT,39.174445,-84.54594,26-30,NORTHSIDE,NORTHSIDE,08/11/2018 09:49:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/11/2018 09:51:00 PM +0000,SAT,M - MALE,1 - NO INJURY / NONE REPORTED,4FEAF61D-13A5-4BC6-BCAF-555796E848EE,9 - UNKNOWN,185011197,"8 - SIDESWIPE, OPPOSITE DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",NORTHSIDE,D - DRIVER,1 - CLEAR,45223
50XX PADDOCK RD,39.177781,-84.477721,61-70,BOND HILL,BONDHILL,08/14/2018 09:55:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/14/2018 09:58:00 AM +0000,TUE,M - MALE,1 - NO INJURY / NONE REPORTED,769F8CD0-8E8A-4952-AE34-BD6569C1795F,1 - DAYLIGHT,185011287,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",BOND HILL,D - DRIVER,1 - CLEAR,45237
40XX HAMILTON AV,39.158339,-84.539952,18-25,NORTHSIDE,NORTHSIDE,08/03/2018 01:46:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/03/2018 01:46:00 PM +0000,FRI,F - FEMALE,2 - POSSIBLE,07CFBF3A-276B-490F-AF8C-B54B68EA6C4F,1 - DAYLIGHT,185010761,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",NORTHSIDE,O - OCCUPANT,1 - CLEAR,45223
29XX VERNON PL,39.134355,-84.499769,51-60,AVONDALE,AVONDALE,08/28/2018 09:10:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/28/2018 09:30:00 AM +0000,TUE,M - MALE,1 - NO INJURY / NONE REPORTED,197268C5-4221-4CFE-862D-99A41523C2C0,1 - DAYLIGHT,185011997,5 - BACKING,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",AVONDALE,D - DRIVER,1 - CLEAR,45219
